datetime,open,high,low,close,volume
2020-09-22,0.850000,7.000000,0.850000,5.319300,31441883.160000
2020-09-23,5.327900,5.360000,3.400000,3.535000,12620608.010000
2020-09-24,3.530500,4.887300,3.403300,4.641100,7107843.860000
2020-09-25,4.636600,5.023400,4.200100,4.713400,3886096.710000
2020-09-26,4.716400,4.820000,4.329400,4.520000,1814932.970000
2020-09-27,4.521400,4.713400,4.106800,4.648400,1500134.560000
2020-09-28,4.648500,4.705000,4.166700,4.202100,1210446.380000
2020-09-29,4.199900,4.289900,3.960700,4.139400,1057878.530000
2020-09-30,4.142900,4.411000,3.995800,4.329300,915518.310000
2020-10-01,4.329300,4.530000,4.014000,4.150000,1477288.720000
2020-10-02,4.142200,4.219800,3.633200,3.911500,1847614.480000
2020-10-03,3.915600,4.190000,3.869600,4.016800,679798.030000
2020-10-04,4.020200,4.079800,3.833400,3.964000,630849.970000
2020-10-05,3.958200,4.045600,3.870000,3.981300,475912.760000
2020-10-06,3.994900,4.000000,3.500000,3.542400,971155.870000
2020-10-07,3.540100,3.546200,3.207000,3.442000,988661.320000
2020-10-08,3.440900,3.959900,3.322800,3.914700,900977.830000
2020-10-09,3.914700,4.325200,3.803400,4.249100,573063.370000
2020-10-10,4.242700,4.269300,4.000100,4.023000,821315.350000
2020-10-11,4.020500,4.176200,3.933300,4.096000,542437.490000
2020-10-12,4.084100,4.710000,4.054000,4.410000,851811.150000
2020-10-13,4.409900,4.563600,4.320300,4.480600,776819.510000
2020-10-14,4.480800,4.484800,4.012500,4.159600,512479.120000
2020-10-15,4.150000,4.231200,3.998500,4.126900,306544.020000
2020-10-16,4.126600,4.158200,3.875500,4.043300,538055.060000
2020-10-17,4.046200,4.210000,3.967300,4.194600,258634.770000
2020-10-18,4.187400,4.246100,4.070100,4.119500,138296.500000
2020-10-19,4.137100,4.174800,3.992600,4.050000,274925.090000
2020-10-20,4.056800,4.090800,3.692500,3.804000,589447.620000
2020-10-21,3.800700,4.103000,3.791800,3.958500,319446.860000
2020-10-22,3.957400,4.490400,3.951100,4.338500,741499.280000
2020-10-23,4.340600,4.487200,4.135400,4.256800,324892.940000
2020-10-24,4.253900,4.362000,4.140000,4.182100,218601.980000
2020-10-25,4.180300,4.252600,4.100000,4.147900,209663.900000
2020-10-26,4.140900,4.489700,4.014100,4.148000,661155.330000
2020-10-27,4.145400,4.350000,4.034300,4.121700,292754.210000
2020-10-28,4.121400,4.179200,3.930800,4.059600,359147.720000
2020-10-29,4.060700,4.105100,3.729600,3.775800,422589.860000
2020-10-30,3.774400,3.822600,3.578100,3.722400,850092.330000
2020-10-31,3.711600,3.761200,3.587600,3.645600,346114.940000
2020-11-01,3.635500,3.714200,3.552100,3.681400,295468.180000
2020-11-02,3.685100,3.877500,3.614500,3.617000,322604.280000
2020-11-03,3.617400,3.651300,3.236800,3.323000,664899.750000
2020-11-04,3.329900,3.375900,3.000000,3.171800,466205.930000
2020-11-05,3.173600,3.384100,3.021100,3.334800,644688.780000
2020-11-06,3.335000,3.666600,3.319400,3.591300,910038.310000
2020-11-07,3.594000,3.919300,3.370000,3.412600,832528.780000
2020-11-08,3.409300,3.670000,3.361300,3.475400,543130.620000
2020-11-09,3.467400,3.539900,3.261900,3.412500,534923.490000
2020-11-10,3.421000,3.630000,3.369000,3.571300,482731.010000
2020-11-11,3.577500,3.820000,3.460000,3.484200,389355.680000
2020-11-12,3.491800,3.569100,3.320000,3.424300,314355.650000
2020-11-13,3.426800,3.701800,3.391100,3.674500,585394.030000
2020-11-14,3.677900,3.704200,3.396000,3.489400,443020.540000
2020-11-15,3.484000,3.641500,3.410100,3.545300,438362.910000
2020-11-16,3.534800,3.820000,3.455000,3.700000,658000.760000
2020-11-17,3.706200,3.933300,3.688100,3.835500,490826.180000
2020-11-18,3.847600,3.873900,3.550000,3.744500,531913.490000
2020-11-19,3.749800,3.827200,3.556300,3.639900,386309.170000
2020-11-20,3.643200,4.011100,3.622400,3.715000,657029.120000
2020-11-21,3.712400,4.098300,3.670000,4.028100,557225.000000
2020-11-22,4.029100,4.060200,3.710000,3.889200,562448.530000
2020-11-23,3.906600,4.257500,3.851900,4.074700,611842.990000
2020-11-24,4.074800,4.333400,3.865000,4.260000,855854.350000
2020-11-25,4.260000,4.398900,3.900100,4.045300,763623.280000
2020-11-26,4.036300,4.089000,3.280000,3.544700,1011308.690000
2020-11-27,3.539900,3.758100,3.417800,3.594200,382067.490000
2020-11-28,3.590300,3.699800,3.475200,3.627100,256600.450000
2020-11-29,3.629900,3.766200,3.531000,3.701300,222772.030000
2020-11-30,3.712400,3.820000,3.641800,3.702400,266744.600000
